name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
AGORA CAFE,"Food Truck, Coffee Shop, Café","Riyadh - King Fahad Brunch Rd (Taksosi), الرياض 13315, المملكة العربية السعودية",24.776504368836758,46.63695585398676,cheap,5.0,8,5,7.536018122325698,
my special place,Café,"الرياض 13511, المملكة العربية السعودية",24.774321,46.639705,cheap,0.0,4,0,7.536018122325698,
مطاعم القمة,Middle Eastern Restaurant,المملكة العربية السعودية,24.77647,46.636469,moderate,1.0,1,0,7.536018122325698,
ladurée,Café,"الرياض 13311, المملكة العربية السعودية",24.77205,46.645453,cheap,0.0,1,0,7.536018122325698,
عصير الضاحية,Juice Bar,"الرياض (ونتر وندرلاند), الرياض 13311, المملكة العربية السعودية",24.771698,46.643802,cheap,5.0,36,1,8.4,14.0
Dippingo (ديبينغو),Dessert Shop,"Al Takhassusi St., الرياض, المملكة العربية السعودية",24.776655,46.641729,cheap,3.0,1,0,7.536018122325698,
Euphoria Way (يوفوريا وي),"Coffee Shop, Café","حي الغدير (شارع السيل الكبير), الرياض 13311, المملكة العربية السعودية",24.771856,46.651327,cheap,26.0,107,17,8.5,30.0
برقر هلا,Burger Joint,"الغدير (سيل الكبير), الرياض 13311, المملكة العربية السعودية",24.772552629680465,46.65363095406551,cheap,41.0,49,11,8.1,53.0
فوال خليج الطائف,Cafeteria,"بجوار جامع عبدالله بن مسعود (السيل الكبير), الرياض, المملكة العربية السعودية",24.77119861408995,46.65059156857873,Cheap,11.0,9,3,7.536018122325698,
شاورما النورماني Normani Shawarma,"Shawarma Place, Fast Food Restaurant, Fried Chicken Joint","Alsail AlKabeer st. Ghadir district, الرياض 13311, المملكة العربية السعودية",24.772434,46.652485,Cheap,8.0,17,4,7.1,11.0
Hala Kenaz,"Dessert Shop, Chocolate Shop","AlSail AlKabeer, الرياض 13311, المملكة العربية السعودية",24.772837822032105,46.65399481111577,cheap,17.0,34,9,7.1,23.0
Cream & Cake,Bakery,"الرياض, المملكة العربية السعودية",24.771682,46.651281,cheap,3.0,2,4,7.536018122325698,
Albukhari's,Restaurant,المملكة العربية السعودية,24.776378,46.646156,moderate,4.0,0,0,7.536018122325698,
pizza Express,Pizza Place,"الرياض, المملكة العربية السعودية",24.772498,46.653664,cheap,6.0,0,3,7.536018122325698,
عالم المانجا || Mango World,Juice Bar,"حي الغدير (شارع السيل الكبير), الرياض, المملكة العربية السعودية",24.771677,46.651749,cheap,4.0,4,3,7.536018122325698,
