name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
baskin robbins (باسكن روبينز),Ice Cream Shop,"الشفاء- حي بدر, الرياض 14724, المملكة العربية السعودية",24.541886,46.704469,cheap,0,1,0,7.5360181223257,
بيت الفطيره الدمشقيه,Turkish Restaurant,"حي الشفاء, الرياض, المملكة العربية السعودية",24.5437246156802,46.7020822878562,moderate,0,1,0,7.5360181223257,
Awafi (عوافي),Middle Eastern Restaurant,"Al Khalil Ibn Ahmad, Badr, الرياض, المملكة العربية السعودية",24.54204,46.695209,moderate,6,3,3,6.6,8
عبدالعزيز للوجبات السريعة,Burger Joint,"حي بدر (شارع الخليل بن احمد), الرياض 14724, المملكة العربية السعودية",24.543474,46.69383,cheap,1,1,0,7.5360181223257,
فطائر بيتزا,Pizza Place,"حي بدر (ش الخليل بن احمد), الرياض, المملكة العربية السعودية",24.5431559053527,46.6928211635697,cheap,1,5,3,7.5360181223257,
فطائر النعمان,Bistro,"الرياض 14724, المملكة العربية السعودية",24.542815,46.694157,cheap,0,0,0,7.5360181223257,
مخابز دانة الارياف,Bakery,"Alshafa (Ibn Taimiyah Road), الرياض 14724, المملكة العربية السعودية",24.542967,46.692285,cheap,1,5,0,7.5360181223257,
مطبخ ابو فيصل,"American Restaurant, Austrian Restaurant","الرياض 14724, المملكة العربية السعودية",24.54487,46.694567,moderate,0,0,0,7.5360181223257,
فوال الحميداني,Arepa Restaurant,المملكة العربية السعودية,24.545779,46.707594,cheap,0,2,0,7.5360181223257,
مطبخ الصحفة,Middle Eastern Restaurant,"الرياض 14724, المملكة العربية السعودية",24.544227,46.705324,moderate,0,1,0,7.5360181223257,
Chief Chef,Restaurant,"الرياض 14716, المملكة العربية السعودية",24.545452,46.712665,moderate,3,5,1,7.5360181223257,
كويزنوز صب Quiznos Sub l,Deli / Bodega,"Alshifa, المملكة العربية السعودية",24.542889,46.715554,cheap,1,0,0,7.5360181223257,
مخابز أسوار المشاهير,Bakery,"مخابز اسوار المشاهير, الرياض 14724, المملكة العربية السعودية",24.546347,46.710483,cheap,5,3,0,7.5360181223257,
ستار بكس,Coffee Shop,المملكة العربية السعودية,24.5423454726001,46.7118542069134,cheap,10,16,0,7.4,13
باسكن روبنز Baskin Robbinz,Ice Cream Shop,"حي بدر (الخليفة المأمون), الرياض, المملكة العربية السعودية",24.5446741330365,46.7115008580659,cheap,6,15,1,6.6,8
فوال أذواق الطائف,Breakfast Spot,المملكة العربية السعودية,24.544502,46.714251,cheap,2,0,0,7.5360181223257,
مطاعم كنوز الطائف البخاري,Afghan Restaurant,المملكة العربية السعودية,24.541212,46.71398,moderate,0,0,0,7.5360181223257,
الكوخ العربي,Fast Food Restaurant,المملكة العربية السعودية,24.5448283683223,46.7116329948979,cheap,1,1,1,7.5360181223257,
فولنا,Arepa Restaurant,المملكة العربية السعودية,24.545583,46.712214,cheap,1,1,0,7.5360181223257,
kitchen,Halal Restaurant,المملكة العربية السعودية,24.542351,46.728667,cheap,0,2,0,7.5360181223257,
KFC (كنتاكي),Fried Chicken Joint,"7877 طريق ابن تيمية, الرياض 14724, المملكة العربية السعودية",24.5456848465023,46.6943702120893,cheap,22,29,2,5.9,45
Shawaya house /بيت الشواية,Comfort Food Restaurant,"Manfuha (شارع الستين), الرياض, المملكة العربية السعودية",24.5451155796012,46.6936372814108,cheap,1,0,0,7.5360181223257,
دانة الأرياف,Bakery,"الرياض 14724, المملكة العربية السعودية",24.543083,46.69221,cheap,0,0,0,7.5360181223257,
برجر ياكريم,Burger Joint,"الرياض 14724, المملكة العربية السعودية",24.54229,46.691697,cheap,0,0,0,7.5360181223257,
عصائر مز,Juice Bar,"حي بدر (طريق ابن تيمية), الرياض, المملكة العربية السعودية",24.5473358736477,46.6957869779674,cheap,27,18,2,8.2,32
B1 Grilled Burger برجر مشوي,Burger Joint,"ALSHIFA, الرياض, المملكة العربية السعودية",24.5466597729334,46.6951610515048,cheap,11,11,2,7.6,14
CAILCOFFEE & WAFFLES (كيل كافيه),Coffee Shop,"الرياض 14724, المملكة العربية السعودية",24.549274,46.69733,cheap,5,56,0,7.5360181223257,
مطعم اسطنبول الخضراء,Turkish Restaurant,"شارع ابن تيميه (الستين), الرياض 14724, المملكة العربية السعودية",24.54627,46.695164,moderate,4,2,1,7.5360181223257,
Al Hatab Bakery (أفران الحطب),Bakery,"Ibn Taymeeyah Rd, الرياض, المملكة العربية السعودية",24.5495812445521,46.6978189772754,cheap,29,34,4,9.1,32
كودو,Fast Food Restaurant,المملكة العربية السعودية,24.5489576529394,46.6971633656383,cheap,27,11,2,8.1,32
كنافة الأردن,Dessert Shop,"الرياض, المملكة العربية السعودية",24.5462648042297,46.6948119483763,cheap,13,15,2,7.4,16
pizza pastry istanbul,"Pizza Place, Fast Food Restaurant",المملكة العربية السعودية,24.5462830127982,46.6947120404328,cheap,12,14,2,5.9,24
وقت الفلافل  Falafel time,Falafel Restaurant,المملكة العربية السعودية,24.549184126692,46.6979586820999,cheap,3,1,0,7.5360181223257,
Broasted Al araby (العربي للبروستد),Fried Chicken Joint,"حي بدر (ط ابن تيمة), الرياض, المملكة العربية السعودية",24.55006,46.697802,cheap,0,1,0,7.5360181223257,
New Cafe (جديد القهوة),Café,"الرياض, المملكة العربية السعودية",24.5464109030963,46.6949251707458,cheap,3,22,0,7.5360181223257,
كنتاكي,Fried Chicken Joint,المملكة العربية السعودية,24.54556645658,46.6945241760072,cheap,0,0,0,7.5360181223257,
Iranian Shawarma & Grill (المشويات والشاورما الايراني),Shawarma Place,المملكة العربية السعودية,24.5507340345991,46.6983549864322,cheap,10,7,0,7.4,13
قلعة الجود للمشويات الطازجة,Steakhouse,المملكة العربية السعودية,24.5512360463958,46.6986946783576,very expensive,6,2,0,7.2,8
Falafel Time,Breakfast Spot,المملكة العربية السعودية,24.550148,46.698013,cheap,1,0,0,7.5360181223257,
